"0805.2150","Victor Galitski","Tudor D. Stanescu, Victor Galitski and S. Das Sarma","Orbital fluctuation mechanism for superconductivity in iron-based
  compounds","expanded version, 9+ pages, 6 color figures","Phys. Rev. B 78, 195114 (2008).","10.1103/PhysRevB.78.195114",,"cond-mat.supr-con cond-mat.str-el","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We propose orbital fluctuations in a multi-band ground state as the
superconducting pairing mechanism in the new iron-based materials. We develop a
general SU(4) theoretical framework for studying a two-orbital model and
discuss a number of scenarios that may be operational within this orbital
fluctuation paradigm. The orbital and spin symmetry of the superconducting
order parameter is argued to be highly non-universal and dependent on the
details of the underlying band structure. We introduce a minimal two-orbital
model for the Fe-pnictides characterized by non-degenerate orbitals that
strongly mix with each other. They correspond to the iron ""d_xy"" orbital and to
an effective combination of ""d_zx"" and ""d_zy"", respectively. Using this
effective model we perform RPA calculations of susceptibilities and effective
pairing interactions. We find that spin and orbital fluctuations are,
generally, strongly coupled and we identify the parameters that control this
coupling as well as the relative strength of various channels.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 18:29:12 GMT""},{""version"":""v2"",""created"":""Fri, 17 Oct 2008 22:19:13 GMT""}]","2008-11-18"
"0805.2392","Benjamin Haas","Benjamin Haas","D-decays with unquenched Lattice QCD","Contribution to the proceedings of Moriond 2008 : QCD and High Energy
  Interactions session",,,,"hep-lat hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We discuss the recent progress in computing the D-meson decay constant and
D->pi l nu form factors from the lattice QCD simulations with Nf=2 dynamical
using Wilson quarks. We report fD=201(20)MeV and F+(1GeV^2)/fD=4.04(78)GeV^-1
at a=0.08fm.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 19:52:27 GMT""},{""version"":""v2"",""created"":""Thu, 15 May 2008 20:11:02 GMT""}]","2008-05-16"
"0805.2393","Marcin Raczkowski","Marcin Raczkowski","d-wave Superconductivity, Orbital Magnetism, and Unidirectional Charge
  Order in the t-J Model","8 pages, 4 figures","Acta Phys. Polon. 114, 107 (2008)",,,"cond-mat.str-el","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Recent scanning tunneling microscopy in the superconducting regime of two
different cuprate families has revealed unidirectional bond-centered modulation
in the local electronic density of states. Motivated by this result we
investigate the emergence of modulated d-wave superconductivity coexisting with
charge domains that form along one of the crystal axes. While detailed stripe
profiles depend on the used form of the Gutzwiller factors, the tendency
towards a valence bond crystal remain robust. We also find closely related
stripe phase originating from the staggered flux phase, a candidate for the
pseudogap phase of lightly doped cuprates.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 19:54:26 GMT""}]","2008-07-14"
"0805.2394","Daniel Perley","D. A. Perley, W. Li, R. Chornock, J. X. Prochaska, N. R. Butler, P.
  Chandra, L. K. Pollack, J. S. Bloom, A. V. Filippenko, H. Swan, F. Yuan, C.
  Akerlof, M. W. Auger, S. B. Cenko, H.-W. Chen, C. D. Fassnacht, D. Fox, D.
  Frail, E. M. Johansson, D. Le Mignant, T. McKay, M. Modjaz, W. Rujopakarn, R.
  Russell, M. A. Skinner, G. H. Smith, I. Smith, M. A. van Dam, S. Yost","GRB 071003: Broadband Follow-up Observations of a Very Bright Gamma-Ray
  Burst in a Galactic Halo","24 pages, 14 figures, 12 tables. Accepted for publication by ApJ.
  Contains minor revisions and additional authors",,"10.1086/591961",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The optical afterglow of long-duration GRB 071003 is among the brightest yet
to be detected from any GRB, with R ~ 12 mag in KAIT observations starting 42 s
after the GRB trigger, including filtered detections during prompt emission.
However, our high S/N ratio afterglow spectrum displays only extremely weak
absorption lines at what we argue is the host redshift of z = 1.60435 - in
contrast to the three other, much stronger Mg II absorption systems observed at
lower redshifts. Together with Keck adaptive optics observations which fail to
reveal a host galaxy coincident with the burst position, our observations
suggest a halo progenitor and offer a cautionary tale about the use of Mg II
for GRB redshift determination. We present early through late-time observations
spanning the electromagnetic spectrum, constrain the connection between the
prompt emission and early variations in the light curve (we observe no
correlation), and discuss possible origins for an unusual, marked rebrightening
that occurs a few hours after the burst: likely either a late-time refreshed
shock or a wide-angle secondary jet. Analysis of the late-time afterglow is
most consistent with a wind environment, suggesting a massive star progenitor.
Together with GRB 070125, this may indicate that a small but significant
portion of star formation in the early universe occurred far outside what we
consider a normal galactic disk.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 20:00:39 GMT""},{""version"":""v2"",""created"":""Mon, 19 May 2008 01:51:37 GMT""},{""version"":""v3"",""created"":""Tue, 23 Sep 2008 21:45:35 GMT""}]","2009-11-13"
"0805.2395","Marcos Rodriguez Cardoso","C. Brenner Mariotto and M.C. Rodriguez","Investigating gluino production at the LHC","4 pages, 4 figures, 1 table, presented at II Latin American Workshop
  on High Energy Phenomenology, December 3-7, 2007, Sao Miguel das Missoes,
  Brazil","Braz.J.Phys.38:503-506,2008","10.1590/S0103-97332008000400024",,"hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Gluinos are expected to be one of the most massive sparticles (supersymmetric
partners of usual particles) which constitute the Minimal Supersymmetric
Standard Model (MSSM). The gluinos are the partners of the gluons and they are
color octet fermions, due this fact they can not mix with the other particles.
Therefore in several scenarios, given at SPS convention, they are the most
massive particles and their nature is a Majorana fermion. Therefore their
production is only feasible at a very energetic machine such as the Large
Hadron Collider (LHC). Being the fermion partners of the gluons, their role and
interactions are directly related with the properties of the supersymmetric QCD
(sQCD). We review the mechanisms for producing gluinos at the LHC and
investigate the total cross section and differential distributions, making an
analysis of their uncertainties, such as the gluino and squark masses, as
obtained in several scenarios, commenting on the possibilities of
discriminating among them.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 20:04:07 GMT""}]","2011-08-31"
"0805.2396","David Champion","D. J. Champion, S. M. Ransom, P. Lazarus, F. Camilo, C. Bassa, V. M.
  Kaspi, D. J. Nice, P. C. C. Freire, I. H. Stairs, J. van Leeuwen, B. W.
  Stappers, J. M. Cordes, J. W. T. Hessels, D. R. Lorimer, Z. Arzoumanian, D.
  C. Backer, N. D. R. Bhat, S. Chatterjee, I. Cognard, J. S. Deneva, C.-A.
  Faucher-Giguere, B. M. Gaensler, J. L. Han, F. A. Jenet, L. Kasian, V. I.
  Kondratiev, M. Kramer, J. Lazio, M. A. McLaughlin, A. Venkataraman, W.
  Vlemmings","An Eccentric Binary Millisecond Pulsar in the Galactic Plane","28 pages, 4 figures inc Supplementary On-Line Material. Accepted for
  publication in Science, published on Science Express: 10.1126/science.1157580",,"10.1126/science.1157580",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Binary pulsar systems are superb probes of stellar and binary evolution and
the physics of extreme environments. In a survey with the Arecibo telescope, we
have found PSR J1903+0327, a radio pulsar with a rotational period of 2.15 ms
in a highly eccentric (e = 0.44) 95-day orbit around a solar mass companion.
Infrared observations identify a possible main-sequence companion star.
Conventional binary stellar evolution models predict neither large orbital
eccentricities nor main-sequence companions around millisecond pulsars.
Alternative formation scenarios involve recycling a neutron star in a globular
cluster then ejecting it into the Galactic disk or membership in a hierarchical
triple system. A relativistic analysis of timing observations of the pulsar
finds its mass to be 1.74+/-0.04 Msun, an unusually high value.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 20:11:29 GMT""}]","2009-11-13"
"0805.2397","Eric Dauler","Eric A. Dauler, Andrew J. Kerman, Bryan S. Robinson, Joel K. W. Yang,
  Boris Voronov, Gregory Gol'tsman, Scott A. Hamilton, and Karl K. Berggren","Photon-number-resolution with sub-30-ps timing using multi-element
  superconducting nanowire single photon detectors","13 pages, 5 figures",,"10.1080/09500340802411989",,"physics.ins-det physics.optics","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A photon-number-resolving detector based on a four-element superconducting
nanowire single photon detector is demonstrated to have sub-30-ps resolution in
measuring the arrival time of individual photons. This detector can be used to
characterize the photon statistics of non-pulsed light sources and to mitigate
dead-time effects in high-speed photon counting applications. Furthermore, a
25% system detection efficiency at 1550 nm was demonstrated, making the
detector useful for both low-flux source characterization and high-speed
photon-counting and quantum communication applications. The design, fabrication
and testing of this detector are described, and a comparison between the
measured and theoretical performance is presented.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 20:06:31 GMT""}]","2015-05-13"
"0805.2399","Christopher J. Burke","Christopher J. Burke, P. R. McCullough, Jeff A. Valenti, Doug Long,
  Christopher M. Johns-Krull, P. Machalek, Kenneth A. Janes, B. Taylor, Michael
  L. Fleenor, Cindy N. Foote, Bruce L. Gary, Enrique Garcia-Melendo, J.
  Gregorio, T. Vanmunster","XO-5b: A Transiting Jupiter-sized Planet With A Four Day Period","10 pages, 9 Figures, Submitted to ApJ","Astrophys.J.686:1331-1340,2008","10.1086/591497",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The star XO-5 (GSC 02959-00729, V=12.1, G8V) hosts a Jupiter-sized,
Rp=1.15+/-0.12 Rjup, transiting extrasolar planet, XO-5b, with an orbital
period of P=4.187732+/-0.00002 days. The planet mass (Mp=1.15+/-0.08 Mjup) and
surface gravity (gp=22+/-5 m/s^2) are significantly larger than expected by
empirical Mp-P and Mp-P-[Fe/H] relationships. However, the deviation from the
Mp-P relationship for XO-5b is not large enough to suggest a distinct type of
planet as is suggested for GJ 436b, HAT-P-2b, and XO-3b. By coincidence XO-5
overlies the extreme H I plume that emanates from the interacting galaxy pair
NGC 2444/NGC 2445 (Arp 143).
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 23:08:38 GMT""}]","2014-11-18"
"0805.2400","Marcin Raczkowski","Marcin Raczkowski, Manuela Capello, Didier Poilblanc","Unidirectional Charge Instability of the d-wave RVB Superconductor","5 pages. 2 figures","Acta Phys. Polon. 115, 77 (2009)",,,"cond-mat.str-el","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Starting from a uniform d-wave superconducting phase we study the energy cost
due to imposed unidirectional defects with a vanishing pairing amplitude. Both
renormalized mean-field theory and variational Monte Carlo calculations within
the t-J model yield that the energies of inhomogeneous and uniform phases are
very close to each other. This suggests that small perturbations in the
microscopic Hamiltonian, might lead to inhomogeneous superconducting phases in
real materials as observed in recent scanning tunneling microscopy on
Ca_{2-x}Na_xCuO_2Cl_2.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 20:14:43 GMT""}]","2009-02-16"
"0805.2401","Serban Raianu","Margaret Beattie, Miodrag Cristian Iovanov, Serban Raianu","The antipode of a dual quasi-Hopf algebra with nonzero integrals is
  bijective","4 pages",,,,"math.QA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  For $A$ a Hopf algebra of arbitrary dimension over a field $K$, it is
well-known that if $A$ has nonzero integrals, or, in other words, if the
coalgebra $A$ is co-Frobenius, then the space of integrals is one-dimensional
and the antipode of $A$ is bijective. Bulacu and Caenepeel recently showed that
if $H$ is a dual quasi-Hopf algebra with nonzero integrals, then the space of
integrals is one-dimensional, and the antipode is injective. In this short note
we show that the antipode is bijective.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 20:20:43 GMT""}]","2008-05-19"
"0805.2402","James Kelliher","James P. Kelliher","Vanishing viscosity and the accumulation of vorticity on the boundary",,"Communications in Mathematical Sciences, 6(4):869-880, 2008",,,"math-ph math.AP math.MP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We say that the vanishing viscosity limit holds in the classical sense if the
velocity for a solution to the Navier-Stokes equations converges in the energy
norm uniformly in time to the velocity for a solution to the Euler equations.
We prove, for a bounded domain in dimension 2 or higher, that the vanishing
viscosity limit holds in the classical sense if and only if a vortex sheet
forms on the boundary.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 20:34:37 GMT""}]","2009-03-18"
"0805.2404","Cliffor Benjam\'in Compe\'an Jasso","M. Kirchbach and C. B. Compean","Baryons from quarks in curved space and deconfinement","24 pages, 7 figures, 1 table, updated with discussion on the SO(2,1)
  symmetry of the trigonometrically extended Cornell potential which allows
  (together with its SO(4) symmetry) to link it to the algebraic AdS_5/CFT
  aspects; results unchanged",,,,"hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Detailed account is given of the fact that the Cornell potential predicted by
Lattice QCD and its exactly solvable trigonometric extension recently reported
by us can be viewed as the respective approximate and exact counterparts on a
curved space to an 1/r flat space potential. The ""curved"" potential describes a
confinement phenomenon because it is of infinite depth and has only bound
states. It furthermore has the remarkable property of preserving both the SO(4)
and SO(2,1) symmetries of the ordinary 1/r potential. We first make the case
that this particular geometric version on confinement provides a remarkably
adequate description of both nucleon and Delta spectra and the proton mean
square charge radius as well, and suggests an intriguing venue toward quark
deconfinement as shut-down of the curvature considered as temperature
dependent. Next we observe that the SO(2,1) symmetry of the ""curved"" potential
allows to place it within the context of AdS_5/CFT correspondence and to
establish in this manner the algbraic link of the the latter to QCD
potentiology.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 20:39:35 GMT""},{""version"":""v2"",""created"":""Tue, 23 Sep 2008 19:40:22 GMT""}]","2008-09-23"
"0805.2405","Juergen Staude","N.S. Dzhalilov, V.D. Kuznetsov, and J. Staude","Wave instabilities in an anisotropic magnetized space plasma","5 pages, length reduced to that of a Research Note, A&A (in press)","Astron. Astrophys. 489, 769-772, 2008","10.1051/0004-6361:200809882",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study wave instability in an collisionless, rarefied hot plasma (e.g.
solar wind or corona). We consider the anisotropy produced by the magnetic
field, when the thermal gas pressures across and along the field become
unequal. We apply the 16-moment transport equations (obtained from the
Boltzmann-Vlasov kinetic equation) including the anisotropic thermal fluxes.
The general dispersion relation for the incompressible wave modes is derived.
It is shown that a new, more complex wave spectrum with stable and unstable
behavior is possible, in contrast to the classic fire-hose modes obtained in
terms of the 13-moment integrated equations.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 21:16:19 GMT""},{""version"":""v2"",""created"":""Tue, 2 Sep 2008 10:07:21 GMT""}]","2009-11-14"
"0805.2406","Alessandro Fiasconaro","Alessandro Fiasconaro","Resonant Activation in Asymmetric Potentials",,,,,"cond-mat.stat-mech","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The resonant activation effect (RA) has been well studied in different ways
during the last two decades. It consists in the presence of a minimum in the
mean time spent by a Brownian particle to exit from a potential well in the
presence of a fluctuating external force, as a function of the mean frequency
(or the correlation time) of the latter. This work studies the role played by
the asymmetry of a piecewise linear potential in the RA effect, and, in
general, the behavior of the mean first passage time and the mean velocity of
the particle crossing through the potential barrier. A strong dependence on the
asymmetry of the potential has been found which can be put in relationship with
the current in the ratchet whose the potential here used is an elementary
module. In this case a current reversal as a function of the frequency of the
switching potential occurs. Comparison of the calculations with the
Doering-Gadua model have been performed, as well as comparison with smooth
symmetrical potentials, by checking for the robustness of the resonant
correlation time. The calculations have been done by solving numerically the
Langevin equation in the presence of an uncorrelated Gaussian noise. The
resonant mean first passage times show an unexpected behavior as a function of
the thermal noise intensity. The related curves present for the different
symmetries an unexpected inversion of their relative behavior beyond a certain
threshold value of the noise. This means that the current reversal can only
occur for weak noise intensities, lower than that threshold value.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 21:09:37 GMT""},{""version"":""v2"",""created"":""Thu, 23 Oct 2008 15:55:06 GMT""}]","2008-10-23"
"0805.2407","Michal Grochol","Michal Grochol and Carlo Piermarocchi","Multi-spin errors in the optical control of a spin quantum memory","4 pages, 4 figures",,"10.1103/PhysRevB.78.165324",,"cond-mat.mes-hall","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study a quantum memory composed of an array of charged quantum dots
embedded in a planar cavity. Optically excited polaritons, i.e. exciton-cavity
mixed states, interact with the electron spins in the dots. Linearly polarized
excitation induces two-spin and multi-spin interactions. We discuss how the
multi-spin interaction terms, which represent a source of errors for two-qubit
quantum gates, can be suppressed using local control of the exciton energy. We
show that using detuning conditional phase shift gates with high fidelity can
be obtained. The cavity provides long-range spin coupling and the resulting
gate operation time is shorter than the spin decoherence time.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 20:50:00 GMT""}]","2009-11-13"
"0805.2408","Kris Chaisanguanthum","The BABAR Collaboration: B. Aubert, et al","Measurements of B --> {pi, eta, eta'} l nu Branching Fractions and
  Determination of |Vub| with Semileptonically Tagged B Mesons","7 pages, 4 postscript figures, submitted to Physical Review Letters","Phys.Rev.Lett.101:081801,2008","10.1103/PhysRevLett.101.081801","BABAR-PUB-08/013, SLAC-PUB-13215","hep-ex","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We report measurements of branching fractions for the decays B --> P l nu,
where P are the pseudoscalar charmless mesons pi-, pi0, eta and eta', based on
348 fb-1 of data collected with the BABAR detector, using B0 and B+ mesons
found in the recoil of a second B meson decaying as B --> D(*) l nu. Assuming
isospin symmetry, we combine pionic branching fractions to obtain B(B0 --> pi-
l+ nu) = (1.54 +/- 0.17(stat) +/- 0.09(syst)) x 10-4; we find 3.2 sigma
evidence of the decay B+ --> eta l+ nu and measure its branching fraction to be
(0.64 +/- 0.20 (stat) +/- 0.03 (syst)) x 10-4, and determine B(B+ --> eta' l+
nu) < 0.47 x 10-4 to 90% confidence level. Using partial branching fractions
for the pionic decays in ranges of the momentum transfer and a recent form
factor calculation, we obtain the magnitude of the Cabibbo-Kobayashi-Maskawa
matrix element |Vub| = (4.0 +/- 0.5(stat) +/- 0.2(syst) +0.7-0.5(theory)) x
10-3.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 21:04:14 GMT""}]","2010-04-12"
"0805.2409","Damien Calaque","Damien Calaque, Carlo A. Rossi","Shoikhet's Conjecture and Duflo Isomorphism on (Co)Invariants","This is a contribution to the Special Issue on Deformation
  Quantization, published in SIGMA (Symmetry, Integrability and Geometry:
  Methods and Applications) at http://www.emis.de/journals/SIGMA/","SIGMA 4 (2008), 060, 17 pages","10.3842/SIGMA.2008.060",,"math.QA math-ph math.MP","http://creativecommons.org/licenses/by-nc-sa/3.0/","  In this paper we prove a conjecture of B. Shoikhet. This conjecture states
that the tangent isomorphism on homology, between the Poisson homology
associated to a Poisson structure on $\mathbb{R}^d$ and the Hochschild homology
of its quantized star-product algebra, is an isomorphism of modules over the
(isomorphic) respective cohomology algebras. As a consequence, we obtain a
version of the Duflo isomorphism on coinvariants.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 21:46:06 GMT""},{""version"":""v2"",""created"":""Tue, 20 May 2008 07:14:58 GMT""},{""version"":""v3"",""created"":""Wed, 3 Sep 2008 05:35:02 GMT""}]","2008-09-03"
"0805.2410","Adam Levine","Adam Simon Levine","On knots with infinite smooth concordance order","5 pages, 3 tables",,,,"math.GT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We use the Heegaard Floer obstructions defined by Grigsby, Ruberman, and
Strle to show that forty-six of the sixty-seven knots through eleven crossings
whose concordance orders were previously unknown have infinite concordance
order.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 21:15:39 GMT""}]","2008-05-19"
"0805.2411","Warner A. Miller","Jonathan R. McDonald and Warner A. Miller","A geometric construction of the Riemann scalar curvature in Regge
  calculus","8 pages, 2 figures, LaTeX","Class.Quant.Grav.25:195017,2008","10.1088/0264-9381/25/19/195017",,"gr-qc","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The Riemann scalar curvature plays a central role in Einstein's geometric
theory of gravity. We describe a new geometric construction of this scalar
curvature invariant at an event (vertex) in a discrete spacetime geometry. This
allows one to constructively measure the scalar curvature using only clocks and
photons. Given recent interest in discrete pre-geometric models of quantum
gravity, we believe is it ever so important to reconstruct the curvature scalar
with respect to a finite number of communicating observers. This derivation
makes use of a new fundamental lattice cell built from elements inherited from
both the original simplicial (Delaunay) spacetime and its circumcentric dual
(Voronoi) lattice. The orthogonality properties between these two lattices
yield an expression for the vertex-based scalar curvature which is strikingly
similar to the corresponding hinge-based expression in Regge calculus (deficit
angle per unit Voronoi dual area). In particular, we show that the scalar
curvature is simply a vertex-based weighted average of deficits per weighted
average of dual areas.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 21:30:05 GMT""},{""version"":""v2"",""created"":""Tue, 24 Mar 2009 21:16:53 GMT""}]","2009-03-27"
"0805.2412","Romain Gouaty Ph.D.","R. Gouaty (for the LIGO Scientific Collaboration)","Detection Confidence Tests for Burst and Inspiral Candidate Events","15 pages, 8 figures, Contribution to 12th Gravitational Wave Data
  Analysis Workshop. Version sent to Classical and Quantum Gravity immediately
  before publication. It addresses the CQG referee's comments","Class.Quant.Grav.25:184006,2008","10.1088/0264-9381/25/18/184006","LIGO-P080042-05","gr-qc","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The LIGO Scientific Collaboration (LSC) is developing and running analysis
pipelines to search for gravitational-wave transients emitted by astrophysical
events such as compact binary mergers or core-collapse supernovae. However,
because of the non-Gaussian, non-stationary nature of the noise exhibited by
the LIGO detectors, residual false alarms might be found at the end of the
pipelines. A critical aspect of the search is then to assess our confidence for
gravitational waves and to distinguish them from those false alarms. Both the
'Compact Binary Coalescence' and the 'Burst' working groups have been
developing a detection checklist for the validation of candidate-events,
consisting of a series of tests which aim to corroborate a detection or to
eliminate a false alarm. These tests include for example data quality checks,
analysis of the candidate appearance, parameter consistency studies and
coherent analysis. In this paper, the general methodology used for candidate
validation is presented. The method is illustrated with an example of simulated
gravitational-wave signal and a false alarm.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 21:32:59 GMT""},{""version"":""v2"",""created"":""Wed, 17 Sep 2008 21:08:38 GMT""}]","2019-08-13"
"0805.2413","Giacomo Ciaramicoli","G. Ciaramicoli, I. Marzoli, and P. Tombesi","Quantum spin models with electrons in Penning traps","22 pages, 1 figure, added minor changes and typos, accepted for
  publication in PRA",,"10.1103/PhysRevA.78.012338",,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We propose a scheme to engineer an effective spin Hamiltonian starting from a
system of electrons confined in micro-Penning traps. By means of appropriate
sequences of electromagnetic pulses, alternated to periods of free evolution,
we control the shape and strength of the spin-spin interaction. Moreover, we
can modify the effective magnetic field experienced by the particle spin. This
procedure enables us to reproduce notable quantum spin systems, such as Ising
and XY models. Thanks to its scalability, our scheme can be applied to a fairly
large number of trapped particles within the reach of near future technology.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 21:50:56 GMT""},{""version"":""v2"",""created"":""Sat, 21 Jun 2008 10:01:58 GMT""}]","2009-11-13"
"0805.2414","James P. Eisenstein","A.D.K. Finck, A.R. Champagne, J.P. Eisenstein, L.N. Pfeiffer, and K.W.
  West","Area dependence of interlayer tunneling in strongly correlated bilayer
  2D electron systems at $\nu_T=1$","5 pages, 3 postscript figures",,"10.1103/PhysRevB.78.075302",,"cond-mat.mes-hall","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The area and perimeter dependence of the Josephson-like interlayer tunneling
signature of the coherent $\nu_T=1$ quantum Hall phase in bilayer
two-dimensional electron systems is examined. Electrostatic top gates of
various sizes and shapes are used to locally define distinct $\nu_T=1$ regions
in the same sample. Near the phase boundary with the incoherent $\nu_T=1$ state
at large layer separation, our results demonstrate that the tunneling
conductance in the coherent phase is closely proportional to the total area of
the tunneling region. This implies that tunneling at $\nu_T=1$ is a bulk
phenomenon in this regime.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 21:55:13 GMT""}]","2009-11-13"
"0805.2415","Adam Dubroka","A. Dubroka, K. W. Kim, M. Roessle, V.K. Malik, R. H. Liu, G. Wu, X. H.
  Chen, and C. Bernhard","Superconducting energy gap and c-axis plasma frequency of
  (Nd,Sm)O0.82F0.18FeAs superconductors from infrared ellipsometry",,"Phys. Rev. Lett. 101, 097011 (2008)","10.1103/PhysRevLett.101.097011",,"cond-mat.supr-con","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present ellipsometric measurements of the far-infrared dielectric response
of polycrystalline samples of the new pnictide superconductor RO0.82F0.18FeAs
(R=Nd and Sm). We find evidence that the electronic properties are strongly
anisotropic such that the optical spectra are dominated by the weakly
conducting c-axis response similar as in the cuprate high-temperature
superconductors (HTSC). Accordingly, we obtain an upper limit of the c-axis
superconducting plasma frequency of $\omega_{{\rm pl},c}^{\rm SC}\leq 260\cm$
which corresponds to a lower limit of the c-axis magnetic penetration depth of
$\lambda_c\geq6\mum$ and an anisotropy of $\lambda_c/\lambda_{ab}\geq 30$ as
compared to $\lambda_{ab}=185$ nm from muon spin rotation [A. Drew {\it et
al.}, arXiv:0805.1042]. Also in analogy to the cuprate HTSC, our spectra
exhibit the signatures of a gap-like suppression of the conductivity in the
superconducting state with a large gap magnitude of $2\Delta\approx300\cm$ (37
meV) and a ratio of $2\Delta/k_{\rm B}\tc\approx8$ that is suggestive of strong
coupling.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 21:59:26 GMT""}]","2009-11-13"
"0805.2416","Michelle Wachs","John Shareshian and Michelle L. Wachs","Eulerian quasisymmetric functions and poset topology","76 pages",,,,"math.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We introduce a family of quasisymmetric functions called {\em Eulerian
quasisymmetric functions}, which have the property of specializing to
enumerators for the joint distribution of the permutation statistics, major
index and excedance number on permutations of fixed cycle type. This family is
analogous to a family of quasisymmetric functions that Gessel and Reutenauer
used to study the joint distribution of major index and descent number on
permutations of fixed cycle type. Our central result is a formula for the
generating function for the Eulerian quasisymmetric functions, which
specializes to a new and surprising $q$-analog of a classical formula for the
exponential generating function of the Eulerian polynomials. This $q$-analog
computes the joint distribution of excedance number and major index, the only
of the four important Euler-Mahonian distributions that had not yet been
computed. Our study of the Eulerian quasisymmetric functions also yields
results that include the descent statistic and refine results of Gessel and
Reutenauer. We also obtain $q$-analogs, $(q,p)$-analogs and quasisymmetric
function analogs of classical results on the symmetry and unimodality of the
Eulerian polynomials. Our Eulerian quasisymmetric functions refine symmetric
functions that have occurred in various representation theoretic and
enumerative contexts such as in MacMahon's study of multiset derangements, in
work of Procesi and Stanley on toric varieties of Coxeter complexes and in
Stanley's work on symmetric chromatic polynomials. Here we present yet another
occurence in connection with the homology of a poset introduced by Bj\""orner
and Welker.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 22:02:36 GMT""}]","2008-05-19"
"0805.2417","Bernard Chaverondier","B. Chaverondier","Special Relativity and possible Lorentz violations consistently coexist
  in Aristotle space-time","13 pages, 6 figures, submitted to Foundation of Physics on 9 may
  2008. In this article, we explicitly derive the Lorentz transformations in
  Aristotle space-time instead of implicitly using the geometrical features of
  this framework (as is the case in usual derivations of these transformations)",,,,"physics.gen-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Some studies interpret quantum measurement as being explicitly non local.
Others assume the preferred frame hypothesis. Unfortunately, these two classes
of studies conflict with Minkowski space-time geometry. On the contrary, in
Aristotle space-time, Lorentz invariance, interpreted as a physical property
applying to all phenomena actually satisfying this symmetry (as opposed to a
geometrical constraint applying to an assumed pre-existing Minkowski
space-time) consistently coexists with possible Lorentz violations. Moreover,
as will be pointed out, the geometrical framework provided by Aristotle
space-time is in fact necessary to derive the Lorentz transformations from
physical hypotheses.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 22:08:58 GMT""}]","2008-05-19"
